titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao,plataforma,assistidoLegendado,linkIMDB,linkImagem,descricao,orcamento
Soul,03/01/2021,2020,Inglês,Pete Docter,"Animação, Aventura, Drama",100,Outros,true,https://www.imdb.com/title/tt2948372,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_.jpg,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",
Batman: Hush,08/01/2021,2019,Inglês,Justin Copeland,"Animação, Ação, Aventura",81,Outros,true,https://www.imdb.com/title/tt8752440,https://m.media-amazon.com/images/M/MV5BNmNmMWM4MGItZmFjMy00YTMxLTg1MzMtODM1OWZiNTYzMDRkXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_.jpg,"When threads from Batman's past begin to unravel, the race is on for him to crack Hush's deadly game. Strange alliances will form and shattering secrets will be revealed when Hush's silence is finally broken.",
Tapete Vermelho,10/01/2021,2006,Português (Brasileiro),Luiz Alberto Pereira,Comédia,100,Outros,true,https://www.imdb.com/title/tt0810096,https://m.media-amazon.com/images/M/MV5BMTY1MDYyNjg4NV5BMl5BanBnXkFtZTcwMTg0NDA1NA@@._V1_.jpg,"Quinzinho (Matheus Nachtergaele) has a promise to keep: take his child, Neco (Vinicius Miranda), to the city to watch a Mazzaropi's movie. They live in a small farm in São Paulo. In this odyssey by the city of São Paulo, he also leads his wife Zulmira (Gorete Miracles), which part unwillingly, and the donkey Policarpo. On the journey, they find regional peculiarities and undergo magical situations, related to popular belief.",
The Last Shift,10/01/2021,2020,Inglês,Andrew Cohn,"Comédia, Drama",90,,,https://www.imdb.com/title/tt10661180,https://m.media-amazon.com/images/M/MV5BYjZlYTVkZTMtY2IwNC00MmRiLWEyMjUtZWNmOTY4NjdiOWQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Stanley's last shift at his fast food job takes an unexpected turn when he befriends a young African-American work employee.,
Back to the Future,12/01/2021,1985,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",116,Outros,true,https://www.imdb.com/title/tt0088763,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",19000000
Back to the Future Part II,13/01/2021,1989,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",108,OUtros,true,https://www.imdb.com/title/tt0096874,https://m.media-amazon.com/images/M/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",40000000
Back to the Future Part III,13/01/2021,1990,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",118,Outros,true,https://www.imdb.com/title/tt0099088,https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",40000000
Bill & Ted Face the Music,15/01/2021,2020,Inglês,Dean Parisot,"Aventura, Comédia, Música",91,Outros,true,https://www.imdb.com/title/tt1086064,https://m.media-amazon.com/images/M/MV5BOTRiNzFhNjAtNTdhMS00ZjViLWFhNTUtMWJlMTJkMGM1YzM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",
Batman Begins,16/01/2021,2005,Inglês,Christopher Nolan,"Ação, Aventura",140,Outros,true,https://www.imdb.com/title/tt0372784,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",150000000
The Dark Knight,18/01/2021,2008,Inglês,Christopher Nolan,"Ação, Crime, Drama",152,Outros,true,https://www.imdb.com/title/tt0468569,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",185000000
The Dark Knight Rises,18/01/2021,2012,Inglês,Christopher Nolan,"Ação, Aventura",164,Outros,true,https://www.imdb.com/title/tt1345836,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",250000000
Jojo Rabbit,20/01/2021,2019,Inglês,Taika Waititi,"Comédia, Drama, Guerra",108,,,https://www.imdb.com/title/tt2584384,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,14000000
Não Vamos Pagar Nada,20/01/2021,2020,Português (Brasileiro),João Fonseca,Comédia,87,,,https://www.imdb.com/title/tt11150412,https://m.media-amazon.com/images/M/MV5BY2RjZmY5ZTItMTBiYi00MWJkLTk5YTAtMDNjZDI4MWMzYjQ2XkEyXkFqcGdeQXVyMTIwNDQ5NjU2._V1_.jpg,"Antônia (Samantha Schmütz) is unemployed and struggling to make ends meet. When she goes to the market and finds that prices have increased, she makes a real revolution and everyone takes the products without paying. Now, she needs to hide the crime from her husband (Edmilson Filho) and the police (Fernando Caruso and Flávio Bauraqui), with help from her best friend (Flavia Reis) to make things right.",4000000
Scott Pilgrim vs. the World,21/01/2021,2010,Inglês,Edgar Wright,"Ação, Comédia, Fantasia",112,,,https://www.imdb.com/title/tt0446029,https://m.media-amazon.com/images/M/MV5BYWQ2OGIyZTgtZmY5MC00NzY3LTg5NDYtMjdkZjgxZmFhZTMzXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_.jpg,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",60000000
Fifty Shades of Grey,22/01/2021,2015,Inglês,Sam Taylor-Johnson,"Drama, Romance, Thriller",125,,,https://www.imdb.com/title/tt2322441,https://m.media-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_.jpg,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",40000000
V for Vendetta,23/01/2021,2005,Inglês,James McTeigue,"Ação, Drama, Ficção científica",132,,,https://www.imdb.com/title/tt0434409,https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_.jpg,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",54000000
The Adventures of Sharkboy and Lavagirl in 3-D,23/01/2021,2005,Inglês,Robert Rodriguez,"Ação, Aventura, Comédia",93,,,https://www.imdb.com/title/tt0424774,https://m.media-amazon.com/images/M/MV5BZjY5NGNhNDMtNDM3OC00YTc0LWFiMzYtNWQ1NWYyYzFjOTk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,50000000
The Fast and the Furious,24/01/2021,2001,Inglês,Rob Cohen,"Ação, Crime, Thriller",106,,,https://www.imdb.com/title/tt0232500,https://m.media-amazon.com/images/M/MV5BNzlkNzVjMDMtOTdhZC00MGE1LTkxODctMzFmMjkwZmMxZjFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,38000000
Men in Black: International,25/01/2021,2019,Inglês,F. Gary Gray,"Ação, Aventura, Comédia",114,,,https://www.imdb.com/title/tt2283336,https://m.media-amazon.com/images/M/MV5BMDZkODI2ZGItYTY5Yi00MTA4LWExY2ItM2ZmNjczYjM0NDg1XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_.jpg,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.",110000000
2 Fast 2 Furious,26/01/2021,2003,Inglês,John Singleton,"Ação, Crime, Thriller",107,,,https://www.imdb.com/title/tt0322259,https://m.media-amazon.com/images/M/MV5BMzExYjcyYWMtY2JkOC00NDUwLTg2OTgtMDI3MGY2OWQzMDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,76000000
Casa Grande,27/01/2021,2014,Português (Brasileiro),Fellipe Gamarano Barbosa,"Drama, Romance",115,,,https://www.imdb.com/title/tt3474994,https://m.media-amazon.com/images/M/MV5BMTk0MTI4OTQ5NV5BMl5BanBnXkFtZTgwMzU5NzQyNzE@._V1_.jpg,"Exploring issues of class privilege among Rio's decadent elite, Casa Grande depicts a teenage boy's struggle to escape his overprotective parents as they covertly spiral into bankruptcy.",
Batman v Superman: Dawn of Justice,28/01/2021,2016,Inglês,Zack Snyder,"Ação, Aventura, Ficção científica",152,,,https://www.imdb.com/title/tt2975590,https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",250000000
The Martian,29/01/2021,2015,Inglês,Ridley Scott,"Aventura, Drama, Ficção científica",144,,,https://www.imdb.com/title/tt3659388,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_.jpg,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",108000000
The Devil's Advocate,30/01/2021,1997,Inglês,Taylor Hackford,"Drama, Mistério, Thriller",144,,,https://www.imdb.com/title/tt0118971,https://m.media-amazon.com/images/M/MV5BM2M2MDJhMDgtMmJkYy00MTgzLTkyZTktODM5NzE1MWUyNDA4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,An exceptionally-adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss--the biggest opportunity of his career to date.,57000000
Astro Boy,31/01/2021,2009,Inglês,David Bowers,"Animação, Ação, Comédia",94,,,https://www.imdb.com/title/tt0375568,https://m.media-amazon.com/images/M/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_.jpg,"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time.",65000000
"I, Robot",06/02/2021,2004,Inglês,Alex Proyas,"Ação, Drama, Ficção científica",115,,,https://www.imdb.com/title/tt0343818,https://m.media-amazon.com/images/M/MV5BNmE1OWI2ZGItMDUyOS00MmU5LWE0MzUtYTQ0YzA1YTE5MGYxXkEyXkFqcGdeQXVyMDM5ODIyNw@@._V1_.jpg,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",120000000
The Maze Runner,08/02/2021,2014,Inglês,Wes Ball,"Ação, Mistério, Ficção científica",113,,,https://www.imdb.com/title/tt1790864,https://m.media-amazon.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_.jpg,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",34000000
Maze Runner: The Scorch Trials,08/02/2021,2015,Inglês,Wes Ball,"Ação, Aventura, Ficção científica",131,,,https://www.imdb.com/title/tt4046784,https://m.media-amazon.com/images/M/MV5BMjE3MDU2NzQyMl5BMl5BanBnXkFtZTgwMzQxMDQ3NTE@._V1_.jpg,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",61000000
Godzilla,08/02/2021,2014,Inglês,Gareth Edwards,"Ação, Aventura, Ficção científica",123,,,https://www.imdb.com/title/tt0831387,https://m.media-amazon.com/images/M/MV5BZDFmYTM4NzAtNWM0ZC00MGJlLWEyYzQtYzA3ZTFiNzc1YjllXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",160000000
Dunkirk,09/02/2021,2017,Inglês,Christopher Nolan,"Ação, Drama, História",106,,,https://www.imdb.com/title/tt5013056,https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",100000000
Insomnia,09/02/2021,2002,Inglês,Christopher Nolan,"Drama, Mistério, Thriller",118,,,https://www.imdb.com/title/tt0278504,https://m.media-amazon.com/images/M/MV5BYzlkZTEyYjUtMTY5NS00ZjU0LTk5OTYtM2M0ZDg1NmNjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,46000000
Maze Runner: The Death Cure,10/02/2021,2018,Inglês,Wes Ball,"Ação, Aventura, Ficção científica",143,,,https://www.imdb.com/title/tt4500922,https://m.media-amazon.com/images/M/MV5BMTYyNzk3MDc2NF5BMl5BanBnXkFtZTgwMDk3OTM1NDM@._V1_.jpg,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",62000000
10 Things I Hate About You,11/02/2021,1999,Inglês,Gil Junger,"Comédia, Drama, Romance",97,,,https://www.imdb.com/title/tt0147800,https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",30000000
Inception,11/02/2021,2010,Inglês,Christopher Nolan,"Ação, Aventura, Ficção científica",148,,,https://www.imdb.com/title/tt1375666,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",160000000
Memento,12/02/2021,2000,Inglês,Christopher Nolan,"Mistério, Thriller",113,,,https://www.imdb.com/title/tt0209144,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,A man with short-term memory loss attempts to track down his wife's murderer.,9000000
The Prestige,13/02/2021,2006,Inglês,Christopher Nolan,"Drama, Mistério, Ficção científica",130,,,https://www.imdb.com/title/tt0482571,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",40000000
Spider-Man: Into the Spider-Verse,14/02/2021,2018,Inglês,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Animação, Ação, Aventura",117,,,https://www.imdb.com/title/tt4633694,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",90000000
