titulo,anoDeLancamento,idioma,diretor,genero,duracao,linkIMDB,linkImagem,descricao,orcamento,principaisAtores,classificacao,paisDeOrigem
Madagascar,2005,Inglês,"Eric Darnell, Tom McGrath","Animação, Aventura, Comédia",86,https://www.imdb.com/title/tt0351283,https://m.media-amazon.com/images/M/MV5BN2I5YzFlYWEtZjRhNy00ZmQzLWJhNTktZGIwYjFjODdmNDgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",75000000,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",Livre,Estados Unidos
Tom and Jerry: The Movie,1992,Inglês,Phil Roman,"Animação, Aventura, Comédia",84,https://www.imdb.com/title/tt0105616,https://m.media-amazon.com/images/M/MV5BMjMxYjU0NmUtOTg0NC00ZGQ5LWEwZjEtZTU4OTgwMzAwYjk5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.,8000000,"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay",Livre,"Estados Unidos, Alemanha"
The Two Popes,2019,Inglês,Fernando Meirelles,"Biografia, Comédia, Drama",125,https://www.imdb.com/title/tt8404614,https://m.media-amazon.com/images/M/MV5BY2RiOTc1YmYtMDk0Yy00ZWI4LTgzN2YtYTg2ZDZmOGIwNTA1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco",14,"Reino Unido, Itália, Estados Unidos"
American Gangster,2007,Inglês,Ridley Scott,"Biografia, Crime, Drama",157,https://www.imdb.com/title/tt0765429,https://m.media-amazon.com/images/M/MV5BMjFmZGI2YTEtYmJhMS00YTE5LWJjNjAtNDI5OGY5ZDhmNTRlXkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_.jpg,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",100000000,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",18,"Estados Unidos, Reino Unido"
"Roman J. Israel, Esq.",2017,Inglês,Dan Gilroy,"Crime, Drama, Thriller",122,https://www.imdb.com/title/tt6000478,https://m.media-amazon.com/images/M/MV5BNjE5OGUwNTMtNzI2Mi00M2FkLWEzMDUtMDYxMGUyNzQwMDc4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.",22000000,"Denzel Washington, Colin Farrell, Carmen Ejogo, Lynda Gravatt",12,"Canadá, Emirados Árabes Unidos, Estados Unidos"
Get Rich or Die Tryin',2005,Inglês,Jim Sheridan,"Biografia, Crime, Drama",117,https://www.imdb.com/title/tt0430308,https://m.media-amazon.com/images/M/MV5BMTI4NTE0MTU2N15BMl5BanBnXkFtZTYwNzQ1OTc2._V1_.jpg,A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.,40000000,"50 Cent, Adewale Akinnuoye-Agbaje, Joy Bryant, Omar Benson Miller",16,"Estados Unidos, Canadá"
The Aviator,2004,Inglês,Martin Scorsese,"Biografia, Drama",170,https://www.imdb.com/title/tt0338751,https://m.media-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,110000000,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",12,"Estados Unidos, Alemanha"
El hombre de las mil caras,2016,Espanhol,Alberto Rodríguez,"Biografia, Thriller",123,https://www.imdb.com/title/tt1713440,https://m.media-amazon.com/images/M/MV5BODk1MmE4OTQtMTQ5OS00MGFhLWJmMGYtNzFiYjM0M2U5NjMwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,"The story of a man who fooled an entire country. A tale of cheats and impostors, taking its inspiration from true facts and from one of the most intriguing characters of recent decades: the spy Francisco Paesa.",5000000,"Jose Coronado, Eduard Fernández, Miquel García Borda, Santiago Molero",,Espanha
Unbroken,2014,Inglês,Angelina Jolie,"Ação, Biografia, Drama",137,https://www.imdb.com/title/tt1809398,https://m.media-amazon.com/images/M/MV5BMTY3ODg2OTgyOF5BMl5BanBnXkFtZTgwODk1OTAwMzE@._V1_.jpg,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",65000000,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi",14,Estados Unidos
Marshall,2017,Inglês,Reginald Hudlin,"Biografia, Crime, Drama",118,https://www.imdb.com/title/tt5301662,https://m.media-amazon.com/images/M/MV5BNzg3YTc4N2ItZmZkZS00OWE1LWIyNGMtNzYzZWQzMzVkZWI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_.jpg,"The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",12000000,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown",14,"Estados Unidos, China, Hong Kong"
