titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao
Soul,03/01/2021,2020,Inglês,Pete Docter,"Animação, Aventura, Drama",100
Batman: Hush,08/01/2021,2019,Inglês,Justin Copeland,"Animação, Ação, Aventura",81
Tapete Vermelho,10/01/2021,2006,Português (Brasileiro),Luiz Alberto Pereira,Comédia,100
The Last Shift,10/01/2021,2020,Inglês,Andrew Cohn,"Comédia, Drama",90
Back to the Future,12/01/2021,1985,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",116
Back to the Future Part II,13/01/2021,1989,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",108
Back to the Future Part III,13/01/2021,1990,Inglês,Robert Zemeckis,"Aventura, Comédia, Ficção científica",118
Bill & Ted Face the Music,15/01/2021,2020,Inglês,Dean Parisot,"Aventura, Comédia, Música",91
Batman Begins,16/01/2021,2005,Inglês,Christopher Nolan,"Ação, Aventura",140
The Dark Knight,18/01/2021,2008,Inglês,Christopher Nolan,"Ação, Crime, Drama",152
The Dark Knight Rises,18/01/2021,2012,Inglês,Christopher Nolan,"Ação, Aventura",164
Jojo Rabbit,20/01/2021,2019,Inglês,Taika Waititi,"Comédia, Drama, Guerra",108
Não Vamos Pagar Nada,20/01/2021,2020,Português (Brasileiro),João Fonseca,Comédia,87
Scott Pilgrim vs. the World,21/01/2021,2010,Inglês,Edgar Wright,"Ação, Comédia, Fantasia",112
Fifty Shades of Grey,22/01/2021,2015,Inglês,Sam Taylor-Johnson,"Drama, Romance, Thriller",125
V for Vendetta,23/01/2021,2005,Inglês,James McTeigue,"Ação, Drama, Ficção científica",132
The Adventures of Sharkboy and Lavagirl in 3-D,23/01/2021,2005,Inglês,Robert Rodriguez,"Ação, Aventura, Comédia",93
The Fast and the Furious,24/01/2021,2001,Inglês,Rob Cohen,"Ação, Crime, Thriller",106
Men in Black: International,25/01/2021,2019,Inglês,F. Gary Gray,"Ação, Aventura, Comédia",114
2 Fast 2 Furious,26/01/2021,2003,Inglês,John Singleton,"Ação, Crime, Thriller",107
