titulo,anoDeLancamento,idioma,diretor,genero
Madagascar,2005,Inglês,"Eric Darnell, Tom McGrath","Animação, Aventura, Comédia"
Moneyball,2011,Inglês,Bennett Miller,"Biografia, Drama, Esporte"
War Dogs,2016,Inglês,Todd Phillips,"Biografia, Comédia, Crime"
Tom and Jerry: The Movie,1992,Inglês,Phil Roman,"Animação, Aventura, Comédia"
The Two Popes,2019,Inglês,Fernando Meirelles,"Biografia, Comédia, Drama"
American Gangster,2007,Inglês,Ridley Scott,"Biografia, Crime, Drama"
Focus,2015,Inglês,"Glenn Ficarra, John Requa","Comédia, Crime, Drama"
"Roman J. Israel, Esq.",2017,Inglês,Dan Gilroy,"Crime, Drama, Thriller"
Edge of Tomorrow,2014,Inglês,Doug Liman,"Ação, Aventura, Ficção científica"
Django Unchained,2012,Inglês,Quentin Tarantino,"Drama, Faroeste"
Get Rich or Die Tryin',2005,Inglês,Jim Sheridan,"Biografia, Crime, Drama"
The Aviator,2004,Inglês,Martin Scorsese,"Biografia, Drama"
Inglourious Basterds,2009,Inglês,Quentin Tarantino,"Aventura, Drama, Guerra"
El hombre de las mil caras,2016,Espanhol,Alberto Rodríguez,"Biografia, Thriller"
Unbroken,2014,Inglês,Angelina Jolie,"Ação, Biografia, Drama"
M8 - Quando a Morte Socorre a Vida,2020,Português (Brasileiro),Jeferson De,Drama
Marshall,2017,Inglês,Reginald Hudlin,"Biografia, Crime, Drama"
Um Namorado Para Minha Mulher,2016,Português (Brasileiro),Júlia Rezende,"Comédia, Romance"
Vestido para Casar,2014,Português (Brasileiro),"Gerson Sanginitto, Paulo Aragão Neto",Comédia
Sergio,2020,Inglês,Greg Barker,"Biografia, Drama, História"
Chappie,2015,Inglês,Neill Blomkamp,"Ação, Crime, Drama"
2 Guns,2013,Inglês,Baltasar Kormákur,"Ação, Crime, Thriller"
El fotógrafo de Mauthausen,2018,Espanhol,Mar Targarona,"Biografia, Drama, História"
The Hungover Games,2014,Inglês,Josh Stolberg,Comédia
Replicas,2018,Inglês,Jeffrey Nachmanoff,"Drama, Ficção científica, Thriller"
Blade Runner 2049,2017,Inglês,Denis Villeneuve,"Ação, Drama, Mistério"
Wasp Network,2019,Inglês,Olivier Assayas,"Crime, Drama, Thriller"
Ransom,1996,Inglês,Ron Howard,"Ação, Crime, Thriller"
The Flintstones,1994,Inglês,Brian Levant,"Comédia, Família, Fantasia"
White Girl,2016,Inglês,Elizabeth Wood,"Crime, Drama"
Murder on the Orient Express,2017,Inglês,Kenneth Branagh,"Crime, Drama, Mistério"
Zack Snyder's Justice League,2021,Inglês,Zack Snyder,"Ação, Aventura, Fantasia"
"Viajo Porque Preciso, Volto Porque Te Amo",2009,Português (Brasileiro),"Karim Ainouz, Marcelo Gomes",Drama
A Esperança é a Última que Morre,2015,Português (Brasileiro),Calvito Leal,Comédia
The Hustle,2019,Inglês,Chris Addison,"Comédia, Crime"
Tenet,2020,Inglês,Christopher Nolan,"Ação, Ficção científica, Thriller"
Shrek,2001,Inglês,"Andrew Adamson, Vicky Jenson","Animação, Aventura, Comédia"
Shrek 2,2004,Inglês,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animação, Aventura, Comédia"
Shrek the Third,2007,Inglês,Chris Miller,"Animação, Aventura, Comédia"
Shrek Forever After,2010,Inglês,Mike Mitchell,"Animação, Aventura, Comédia"
